구역/도크,공정률,현재작업,안전이슈,마지막업데이트
거제 제1도크,71.3,선체 조립,정상,2026-03-30 02:45:59
거제 제2도크,53.3,의장 작업,[위험] 크레인 오작동,2026-03-30 02:48:59
거제 제3도크,88.7,자재 대기,[위험] 크레인 오작동,2026-03-30 03:11:59
거제 제4도크,69.7,의장 작업,[위험] 낙하물 발생,2026-03-30 02:32:59
제5도크 (통영분관),70.3,엔진 설치,정상,2026-03-30 03:06:59
옥포 특수선 구역 A,19.1,최종 검사,[경고] 유해가스 감지,2026-03-30 01:30:59
옥포 특수선 구역 B,63.3,최종 검사,[주의] 분진 발생,2026-03-30 03:14:59
옥포 특수선 구역 C,43.9,시운전,[경고] 유해가스 감지,2026-03-30 02:19:59
특수선 시운전 구역,14.7,최종 검사,정상,2026-03-30 02:57:59
대형 가공 1공장,67.3,의장 작업,정상,2026-03-30 03:05:59
대형 가공 2공장,85.3,의장 작업,[위험] 크레인 오작동,2026-03-30 02:00:59
배관 블록 공장,11.5,최종 검사,[경고] 유해가스 감지,2026-03-30 02:20:59
도장 1방,41.7,선체 조립,정상,2026-03-30 01:56:59
도장 2방,78.9,배관 설치,[위험] 낙하물 발생,2026-03-30 01:29:59
의장 부두 A,88.9,엔진 설치,[주의] 분진 발생,2026-03-30 02:58:59
의장 부두 B,31.6,시운전,정상,2026-03-30 02:37:59
중량물 하역장,80.0,도장 작업,정상,2026-03-30 01:46:59
강재 저장소 A,42.8,의장 작업,[주의] 화기 작업 주의,2026-03-30 01:34:59
강재 저장소 B,18.2,자재 대기,정상,2026-03-30 03:03:59
RPA 로봇 충전 스테이션,12.0,로봇 순찰,[위험] 크레인 오작동,2026-03-30 01:39:59
해상풍력 구역 A,32.9,엔진 설치,정상,2026-03-30 01:39:59
해상풍력 구역 B,24.6,자재 대기,[위험] 크레인 오작동,2026-03-30 03:11:59
해상 가공 플랫폼,57.3,도장 작업,정상,2026-03-30 01:39:59
북부 야드 1도크,89.7,의장 작업,[주의] 화기 작업 주의,2026-03-30 02:12:59
북부 야드 2도크,25.9,도장 작업,정상,2026-03-30 01:50:59
남부 야드 A부두,38.5,로봇 순찰,정상,2026-03-30 01:37:59
남부 야드 B부두,74.8,최종 검사,정상,2026-03-30 01:48:59
선박 블록 저장소 1,93.0,시운전,정상,2026-03-30 01:29:59
선박 블록 저장소 2,73.2,엔진 설치,정상,2026-03-30 03:10:59
배관 공장 1단지,17.2,설계 검토,[주의] 장비 점검,2026-03-30 01:14:59
배관 공장 2단지,38.3,로봇 순찰,[주의] 분진 발생,2026-03-30 02:16:59
제3 도장 공장,27.7,로봇 순찰,정상,2026-03-30 02:41:59
조립 구역 알파,71.1,로봇 순찰,정상,2026-03-30 01:32:59
조립 구역 베타,32.0,최종 검사,[위험] 낙하물 발생,2026-03-30 01:30:59
조립 구역 감마,16.5,배관 설치,정상,2026-03-30 02:17:59
제1 진수대,94.7,설계 검토,[주의] 분진 발생,2026-03-30 01:52:59
제2 진수대,71.2,선체 조립,정상,2026-03-30 02:20:59
크레인 트랙 A,53.3,선체 조립,정상,2026-03-30 02:29:59
크레인 트랙 B,15.4,선체 조립,[위험] 크레인 오작동,2026-03-30 02:15:59
크레인 트랙 C,30.1,자재 대기,정상,2026-03-30 03:13:59
E-도크 서비스 구역,36.3,엔진 설치,정상,2026-03-30 03:02:59
X-도크 서비스 구역,26.3,의장 작업,[주의] 장비 점검,2026-03-30 01:44:59
정문 물류 센터,21.0,선체 조립,정상,2026-03-30 01:46:59
수출 부두 델타,78.8,자재 대기,정상,2026-03-30 02:15:59
보안 블록 1,71.0,선체 조립,정상,2026-03-30 01:16:59
보안 블록 2,75.1,최종 검사,정상,2026-03-30 02:33:59
전략 보급 구역,16.5,의장 작업,[주의] 강풍주의,2026-03-30 03:12:59
AI 서버 클러스터 알파,47.0,시운전,[위험] 크레인 오작동,2026-03-30 01:24:59
디지털 트윈 동기화 허브,22.2,최종 검사,정상,2026-03-30 02:15:59
워크샵 9구역,54.4,시운전,[주의] 강풍주의,2026-03-30 01:35:59
워크샵 10구역,61.1,최종 검사,정상,2026-03-30 01:54:59
워크샵 11구역,90.4,선체 조립,[주의] 장비 점검,2026-03-30 01:51:59
워크샵 12구역,87.1,선체 조립,정상,2026-03-30 02:21:59
워크샵 13구역,12.1,설계 검토,정상,2026-03-30 01:41:59
워크샵 14구역,44.8,배관 설치,정상,2026-03-30 01:32:59
워크샵 15구역,59.2,의장 작업,정상,2026-03-30 02:38:59
워크샵 16구역,24.8,로봇 순찰,정상,2026-03-30 02:30:59
워크샵 17구역,15.7,의장 작업,[주의] 장비 점검,2026-03-30 01:58:59
워크샵 18구역,47.0,최종 검사,[주의] 장비 점검,2026-03-30 01:55:59
워크샵 19구역,64.2,자재 대기,정상,2026-03-30 03:07:59
🧪 테스트 부두 99,88.8,최종 검증 중,정상,2026-03-31 01:52:38
🧪 제99 테스트 도크,88.8,데이터 동기화 검증,가상 위험 테스트,2026-03-31 01:55:24
